by BrightEdge Technologies,Business & Finance,"['""Alexa, ask WhiteHat Security define buffer overflow""', '""Alexa, ask WhiteHat Security to define HTTP Request Smuggling""', '""Alexa, ask whitehat security for the definition of XML injection""']","WhiteHat Security is a leader in the application security industry. It's important for all organizations to understand the concepts, terminology, and technology that is relevant and current in application security in order to protect your assets online. With the WhiteHat Security Alexa Skill, you can ask for detailed definitions for important application security terms.",white hat security,0,0,0,0,0,0,0,1503582841.2531412,BE-WhiteHatSecurity
by Jobo's Rum,Business & Finance,"['""Alexa, ask My Auction the price of three nine one seven five one three six ...""', '""Alexa, ask My Auction the current price of three nine one seven five one th...""', '""Alexa, ask My Auction the price of auction three nine one seven five one th...""']","An unofficial way to check the current bid value of your Ebay auctions by providing the Ebay ID number. Just give Alexa your Ebay auction ID by saying, ""Alexa, ask My Auction the price of 391751360258.Do not pause between numbers, such as 3917 (pause) 5136. Just tell the Alexa the digits one right after another.",my auction,0,0,0,0,0,0,0,1503582843.7796142,My Auction
by StarButter,Business & Finance,"['""Alexa Open Bank Helper""', '""Alexa, ask Bank Helper for today\'s C. D. rates""', '""Alexa, ask Bank Helper for bank account savings rates""']","Sofia is your Bank Helper. She gives you up-to-date information about the highest bank savings account and CD rates. She also answers general questions about savings accounts and getting CDs, and what the best places are to shop are for these. She is a financial expert and prefers simple and low-cost financial products from the most trusted and highest-rated firms. Sophia has done her research by looking at trusted sources like the FDIC, CFPB Research, Consumer Reports, and other independent sources.",bank helper,4.8 out of 5 stars,0%,0%,0%,11%,89%,9,1503582850.5900345,Bank Helper
by Cheddar,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","A unique and live approach to news in technology, media, and entertainment, Cheddar is broadcast daily from the floor of the New York Stock Exchange, with exclusive CEO and founder interviews, and profiles of the technologies and companies transforming our lives.",No_Invocation,5.0 out of 5 stars,0%,0%,0%,0%,100%,3,1503582860.0093217,Cheddar
by Comersus Open Technologies,Business & Finance,"['""Alexa, ask blue dollar what is dollar quote""']",Currency Exchange Rates Calculator between argentina's peso to parallel and official dollar.,blue dollar,0,0,0,0,0,0,0,1503582867.2885094,Blue Dollar Quote
by PipBroker.com,Business & Finance,"['""Alexa ask PipBroker Educate me.""', '""Alexa ask PipBroker for another one.""', '""Alexa ask PipBroker Give me a fact.""']","Get tips for Forex, Commodities and Cryptocurrency Trading from PipBroker.",pipbroker,0,0,0,0,0,0,0,1503582870.045877,"Forex, Commodities and Cryptocurrency Trading"
by Logical Enigma,Business & Finance,"['""Alexa, ask Currency Converter how much is one bitcoin in united states doll...""', '""Alexa, ask Currency Converter what currencies do you know""', '""Alexa, ask Currency Converter what is the exchange rate for euros""']","Quickly and easily convert between two currencies. Over 150 currencies are supported, and rates are updated hourly. Even has rates for Bitcoin, Silver Ounces, and Gold Ounces.",currency converter,2.5 out of 5 stars,50%,16%,0%,17%,17%,6,1503582872.6235712,Currency Converter
by Noah Katz,Business & Finance,"['""Alexa, ask crypto change what is the price of Bitcoin?""', '""Alexa, ask crypto change what does Ripple currently cost?""', '""Alexa, ask crypto change what is Waves price?""']",Look up the price of any major cryptocurrency with Cryptochange! The most recent price is given to you in both USD and BTC.,crypto change,0,0,0,0,0,0,0,1503582881.1428273,Crypto Change
by Cloud.in,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Get daily Cloud News and Updates briefing by Cloud.in. Stay up-to-date with latest Cloud Technology News. Learn about announcements, launches, news, innovation and more from various Cloud Platforms and Service Providers.",No_Invocation,0,0,0,0,0,0,0,1503582884.3603806,Cloud.in Flash briefings
by CareerOneStop,Business & Finance,"['""Alexa, find me a job""', '""Alexa, launch find me a job""']","Find jobs near you. Simply tell Alexa a job title you’re interested in. To get started, ask Alexa to “find me a job.”This job search skill is powered by CareerOneStop’s Job Finder. The Job Finder lets you search thousands of job listings that are updated daily from all over the United States. CareerOneStop is sponsored by the U.S. Department of Labor.Features:- Search jobs near you- Search jobs by title or other keyword- Search any local area in the country- Get step-by-step voice helpNew to CareerOneStop? Learn more at www.careeronestop.org.We'd love to hear from you! If you have questions, comments, or feedback, please e-mail us at info@careeronestop.org.",find me a job,0,0,0,0,0,0,0,1503582886.915198,Find Me A Job
by Dejim Juang,Business & Finance,"['""Alexa, open unofficial Any point Exchange""', '""Alexa, start unofficial Any point Exchange""', '""Alexa, ask unofficial Any point Exchange""']","This skill provides a way to search the MuleSoft Anypoint Exchange for connectors to common platforms such as Salesforce, ServiceNow, Oracle, and Facebook. This skill is not sponsored or endorsed by MuleSoft, Inc.",unofficial any point exchange,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582889.57541,Unofficial Anypoint Exchange
by Virginia Credit Union,Business & Finance,"['""Alexa, ask Virginia Credit Union what is the routing number?""', '""Alexa, get the rate for a credit card from Virginia Credit Union.""', '""Alexa, ask Virginia Credit Union when the Short Pump branch is open.""']","Ask Virginia Credit Union about products and services, rates, branch hours and more from your Amazon Echo, Fire, or Tap device. You can enable the skill by saying “Alexa, enable the Virginia Credit Union skill” or by enabling it in the skills section of the Alexa app. When you want information from Virginia Credit Union, just say, “Ask Virginia Credit Union …”General Information:  • “…what is the bank routing number?”  • “…to get the mailing address.”  • “…what’s the Member Services phone number?”  • “….when is Member Services open?” Branch Information:  • “…what is the address for the Genito branch?”  • “…when is the Tower branch open?”  • “…how long is the line for an appointment at Seminole Square?” Lending Information:  • “…what’s the rate for a car loan?”  • “…what’s the APR for a home equity line of credit?”  • “…to get the interest rate for a credit card.”Alexa skills get better faster with feedback from users. Please visit vacu.org/alexa to provide us with your suggestions.",virginia credit union,0,0,0,0,0,0,0,1503582897.0307138,Virginia Credit Union
by WELTO Team,Business & Finance,"['""Alexa, ask welto app, what is my current balance""', '""Alexa, ask welto app, what is my expenses this month""', '""Alexa, ask welto app, how many incomes do I have this month""']","Welto is your personal financial adviser. It allows you to track your incomes/expenses, pay bills on time by using the highly-effective calendar functionality, set goals to achieve – Welto will give you advises what can be done and how you can achieve it quicker. Now you have ability to aggregate all finances in one place and you can easily track you capital.",welto app,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582899.44392,"Welto - Budget, Money, Finance"
by Conversable,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",CDC Report for alexa,No_Invocation,0,0,0,0,0,0,0,1503582907.0983162,Vick's Cold & Flu
by Burag Cetinkaya,Business & Finance,"['""Alexa, ask Coin Price what is the price of Bitcoin""', '""Alexa, ask Coin Price how much is one Ethereum""', '""Alexa, start Coin Price and get price of Bitcoin""']","Do you invest in or curious about crypto currencies? You may find yourself checking the price of Bitcoin or Ethereum a few times a day. Instead of visiting a web site or using an app on your phone, just ask for the price and get an instant answer.",coin price,4.0 out of 5 stars,0%,0%,0%,100%,0%,1,1503582910.1711142,Coinprice
by Digital Spring Apps,Business & Finance,"['""Alexa,  open parking violations""', '""ask parking violations for plate number G. J. K. 4 4 4 9""', '""ask parking violations for more help""']","Search New York City Open Data for Open Parking and Camera Violations in New York City. Search by Plate number or Summons number. for example: Alexa, ask Parking Violations for plate number G. J. K. 4 4 4 9. Data comes fromdata.cityofnewyork.us please confirm, with official departments, for any information given. Please note that this skill may not be suitable for all ages. Thank you.",parking violations,0,0,0,0,0,0,0,1503582917.5140364,Open Parking and Camera Violations in NYC
by Global Training Center,Business & Finance,"['""Alexa, ask GTC what is ADD""', '""Alexa, ask GTC what does NAFTA mean""', '""Alexa, ask GTC what is a Foreign Trade Zone""']","Navigating through endless Customs and International Trade terminology or acronyms can be a headache when all you want is to complete or understand the documentation in front of you. Ask Alexa for help by simply saying, ""Alexa, ask GTC what is NAFTA"", or, ""Alexa, ask GTC what is drawback"". If the term in not present, Alexa will save that and the term will be added shortly after. Continuous use of this skill will help grow the database, so ask Alexa for trade-related terms.",g. t. c.,0,0,0,0,0,0,0,1503582919.9067242,GTC International Trade
by Doug Devitre International Inc.,Business & Finance,"['""Alexa, open customer objections""', '""i keep hearing give me a discount and i will buy today""', '""tell me more""']","No's are natural. We hear them everyday and in every form. How we respond will determine whether we are able to influence others or accept rejection as our fate. Tell Alexa the objection you hear and she will give you the best tested response to help you get what you want, but more importantly help the customer get what they want. Gerhard Gschwandtner, publisher of Selling Power and Doug Devitre, a visionary in training delivery techniques using the latest technology have partnered to bring you the most comprehensive set os sales objections and rebuttals to help sales executives, sales managers, and sales professionals handle objections as they experience them.",customer objections,0,0,0,0,0,0,0,1503582922.7316787,Customer Objections
by playdumbo.nyc,Business & Finance,"['""Alexa, ask Stock Quote to get quote for MSFT""', '""Get quote for EBAY""', '""What\'s the price of AMZN""']",With Stock Quote you can have Alexa tell you the recent price of any stock listed on the NYSE. Quotes may be delayed due to market restrictions.,stock quote,2.2 out of 5 stars,48%,15%,22%,7%,8%,27,1503582929.4086468,Stock Quote
by DynaSolve,Business & Finance,"['""Alexa, ask my crypto what is the price of bitcoin?""', '""Alexa, ask my crypto for the current price of bitcoin?""', '""Alexa, ask my crypto for the price of bitcoin""']","Are you tracking the volatile price of Bitcoin? Do you sometimes want to know what the price is but you don't have a browser or tracker app handy? What could be more convenient than asking Alexa the current price of bitcoin when the thought strikes you?There is nothing to setup or prepare. All you have to do is ask ""What is the price of Bitcoin"". The app polls multiple exchanges and always has an up to date and ready answer for the current exchange rate between US dollars and Bitcoin.It will also tell you how much the price has changed over the last 24 hours so you can keep track of which way Bitcoin is moving!",my crypto,3.8 out of 5 stars,20%,0%,0%,20%,60%,5,1503582949.9603596,CryptoCurrency
by Pradhyo Bijja,Business & Finance,"['""Alexa, ask digital coins about Bitcoin""', '""What is the price of ethereum""', '""What is the rate of dash""']",This skill is an easy way to get the rate of cryptocurrencies like bitcoin and ethereum in US dollars.,digital coins,0,0,0,0,0,0,0,1503582957.9710512,Digital Coins
by DSA Factors,Business & Finance,"['""Alexa, open accounts receivable factoring.""', '""My invoice is for two hundred and seventy five dollars.""', '""My factoring rate is three percent.""']","Using accounts receivable factoring, you are able to tell Alexa how much your invoice is for and what your factoring rate is. Alexa will then calculate the factoring fees for you and tell you how much you can expect to get funded for your invoices. You will need to now your factoring rate in order to use this skill. In general, DSA Factors offers factoring rates between 2-5%, to get a quote, please give DSA Factors a call at 773-248-9000. You can learn more about accounts receivable factoring by visiting DSAFactors.com",accounts receivable factoring,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582960.4200928,Accounts Receivable Factoring
