author,category,commands,description,id,invocation,rating,ratingPercentage_1,ratingPercentage_2,ratingPercentage_3,ratingPercentage_4,ratingPercentage_5,reviewNum,timestamp,title
Pargee,Health & Fitness,"['""Alexa, start seven minute workout.""', '""Start workout""', '""Ready""']","*NEW* Version 2.0 Update! (See below)The 7-Minute Workout is a scientifically proven set of exercises designed to increase metabolism, improve energy, lower stress, and best of all, remove fat! It's a small daily commitment for such enormous benefits.To get started, you simply need to say 'Start 7-Minute Workout,' and you will be guided through the entire routine. Take breaks as you need them, and let Alexa know when you are ready to begin the next exercise, but don't forget to push yourself!Please share your thoughts, and we will do our best to make the 7-Minute Workout the perfect workout companion for your busy life! You can email me directly at justin@pargee.com with any questions, comments or concerns.Future releases will offer additional features based on community feedback such as:-Advanced mode containing more difficult exercises.Update 2.0:-Helpful images and tutorials via the Alexa Companion App!-Keep track of and resume existing workouts!-Various minor tweaks and fixes :)Update 1.1: -Improved error handling for ready intents to accept addition words and phrases.",cb3f7cba-2cde-415c-9ba4-8604c4558de1,seven minute workout,3.1,23,12,19,25,21,294,1503629765.466284,7-Minute Workout
Fox News Channel,News,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",Get the latest news from FOX News now on Alexa. Stay up to date on the political landscape or listen to the latest celebrity gossip. FOX News keeps you in the know. (This flash briefing includes video on compatible devices).,df69f0be-bfa1-424b-a66e-b57b249408aa,No_Invocation,3.3,37,3,2,5,53,540,1504378940.176657,Fox News
Webguild,Novelty & Humor,"['""Alexa, tell BedTime Story to Allie""', '""Alexa, launch Bedtime Story""', '""Alexa, ask Bedtime Story to Configure""']","Have Alexa tell a short bedtime story, personalized to your name.There are several stories at this time and more are coming.If you want to fix issues with names like if Bedtime thinks ""Taylor"" is a girl instead of a boy, or if Bedtime mispronounces the name like ""Allie"" comes out ""Ellie"", you can use the companion website http://bedtime.webguild.com. First get a Linking Code by asking, ""Alexa, ask Bedtime Story to Configure"". Have a notepad handy to write down the info.Also at the Bedtime website, you will be able to disable any stories you don't want to hear and you will be able to author your own stories tailored to your family.Enjoy!",e5c280df-1f28-4efe-8887-195f25601b6d,bedtime story,4.2,11,4,6,12,67,826,1504379263.991522,Short Bedtime Story
Zhenhua,Novelty & Humor,"['""Alexa, meow meow""', '""Meow   (or mew)""', '""Meow meow meow  (or mew mew mew)""']",A virtual cat lives within echo. You can chat with Alexa in cat's language. Play this with your cat.You (or your cat) can have a back and forth conversation with Alexa by saying single/multiple meow/mew.Say stop to stop the conversation.,feb5f9f7-e7e5-49f0-b1c8-7e0321a87c7c,meow meow,3.4,27,8,3,15,47,156,1504379758.044302,Meow!
AB Mobile,Smart Home,"['""Alexa, ask AnyMote to play my Sonos""', '""Alexa, ask AnyMote to power off my TV""', '""Alexa, ask AnyMote to mute my living room tv""']","Control all your home electronics over Wi-Fi or InfraRed through the Smart IR Remote and AnyMote skill for Alexa. To use this skill, you need Smart IR Remote - AnyMote from Google Play or Apple AppStore. If you want to control devices that have infrared sensors (e.g., a TV, Set Top Box, AV equipment, etc.), you’ll need a phone that has an IR Blaster like the Galaxy S4, S5, S6, HTC One, LG G4 (Moto G, E, X and the Fire Phone don't have it), or an external IR Blaster accessory, like the AnyMote Home. For more information and setup instructions, go to www.anymote.io/alexa Once you’re all set up and have your remotes added in the Smart IR Remote - AnyMote app, you can perform all the actions you’d normally perform through the remote - just by asking Alexa.",26e112d3-20f5-4464-a309-3a2dabd62a0e,any mote,2.5,50,9,7,14,20,142,1504379857.643932,AnyMote Smart Remote
Philips Hue,Smart Home,"['""Alexa, turn on Living Room lights""', '""Alexa, turn on Relax in the Kitchen""', '""Alexa, set the Kitchen light to Green""']","NEW! You can now change the color of your lights and rooms. For more information see below. NEW!The Philips Hue SmartHome skill is only compatible with the Philips Hue Bridge V2 (square shape).With the Philips Hue skill and Alexa, you can now interact with your Philips Hue lights, rooms, and scenes, recipes and colors.  To get started, select the ""Enable Skill"" button in the Alexa App to link your Philips Hue account and say, ""Alexa, discover devices”. Note: Basic lighting functionality (on / off / dimming) is available without the Smarthome skill and is compatible with Philips Hue V1 (round) and V2 (square) bridges. Scenes: To control scenes, simply tell Alexa to turn on <scene name> in the <room name>. - ""Alexa, turn on Relax in the Bedroom"".- ""Alexa, turn on Energize in the Kitchen”. In the Philips Hue app, default scenes are created automatically for each room, e.g. Relax, Concentrate, Energize, Arctic Aurora, Dimmed and more. Scene names can be found in the Philips Hue app 'Room' tab after you select a specific room. Feel free to create new scenes that work just for you! After creating or renaming a scene, simply ask, ""Alexa, discover devices"" to have them work with Amazon Alexa. Rooms: To control several lights in the same room, simply tell Alexa to turn on <room name> . - “Alexa, turn on Bedroom”.- “Alexa, brighten Kitchen to 60%”. There are two ways to define rooms.- Use the name(s) you set up already in the Hue app – these are shown in the Philips Hue app 'Room' tab, OR- Create an Alexa group and add the device(s) to the group in the Alexa App. More information is available at http://tinyurl.com/alexa-smart-home-groups. Light Controls:- You can turn devices on/off, for example: “Alexa, turn on my Bedroom lights” or “Alexa, turn off the Kitchen lights”.- You can change the brightness, for example: ""Alexa, brighten Dining Room to 60%"", or “Alexa, dim the Living Room lights”.Color Control:- offers possibilities to change or set colors with Philips Hue Color bulbs. Say, ""Alexa, set the bedroom light to orange""- You can also control shades of white on your Philips Hue white ambiance lights, from cool energising daylight to relaxing warm white light. Say: - ""Alexa, set the kitchen light to cool white"" - ""Alexa, make the living room warmer""Find more information about connecting Smart Home devices at http://tinyurl.com/alexa-smart-home.  In case you still have questions, see the FAQ: http://www2.meethue.com/en-us/support/faq-categories/partners/amazon-alexa/ Note: When linking the Smart Home skill using your Google account with an iOS device, on the first try this may not complete. Please repeat process and completion should be successful. If not, try using a browser to enable Philips Hue with Google+ first, or check the FAQ link above.",4361e7cb-14e7-4262-b07c-df34fbe5defa,No_Invocation,2.5,48,10,9,12,21,751,1504379955.836715,Hue
Lyft,Travel & Transportation,"['""Alexa, ask Lyft for a ride.""', '""Alexa, ask Lyft how much a Lyft Plus from home to work costs?""', '""Alexa, tell Lyft to rate my driver five stars.""']","Need a lift? With the Lyft skill for Alexa, you can request a ride and get picked up in minutes from the home address set in your Lyft account. If you've set a work address, your weekday commute can be a breeze, too. Instead of hailing a cab or waiting for the bus, just request a car with your voice. Lyft is cheaper than a taxi, faster than the bus, and easy to use. To get started, enable the skill and link a Lyft account. Then just ask - ""Alexa, ask Lyft to call a line to work for 2 people."" - ""Alexa, ask Lyft where my ride is"" - ""Alexa, tell Lyft to rate my driver 3 stars."" - ""Alexa, ask Lyft how long getting a line to work will take.""Lyft for Alexa uses the Work and Home addresses you've specified inside your Lyft App. Lyft for Alexa will always send a car to your Lyft 'Home' address. New to Lyft? Download Lyft here! - https://www.lyft.com/invited/alexalyft",27e80a2b-d086-4b2f-a140-56ddc0e163d1,lyft,2.6,50,5,3,5,37,64,1504379975.652297,Lyft
Jesse Friedman,Utilities,"['""Alexa, open Where\'sMyPhone""', '""Alexa, ask Where\'sMyPhone to find my phone""']","Ever had to have a friend call your phone so you could find it in your house? With Where'sMyPhone, that friend is now Alexa. After a quick and painless setup process, your Alexa-enabled device can instantly call your mobile phone to help you find it. Unlike other available skills, Where'sMyPhone actually dials your phone number instead of relying on any special phone-site apps, so it works with any phone.Where'sMyPhone currently only works with 10-digit North American Numbering Plan phone numbers (numbers with the country code +1.)Privacy notice: Where'sMyPhone collects your phone number and an anonymized identifier to allow it to call you when requested. This data is stored in a secure cloud database. Calls administered via the service are delivered through a San Francisco number, +1 (415) 527-3463. This is the only number that will call you through this skill.",db3d0206-129f-442e-834d-9a5037e2ffe5,where's my phone,3.5,28,7,5,15,45,178,1504380024.4067378,Where'sMyPhone
Amazon,Weather,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","As part of your Flash Briefing, Alexa will provide a brief update on the current weather conditions, and the forecast for the day.Forecast data provided by AccuWeather.",2e6565c2-682f-4a6e-a265-db45061aff36,No_Invocation,2.2,52,16,6,9,17,225,1504380141.255531,Weather
"Voice Apps, LLC.",Music & Audio,"['""Alexa open Sleep Sounds""', '""Alexa ask Sleep Sounds to play Thunderstorm""', '""Alexa ask Sleep Sounds to play Rain""']","Sleep Sounds lets you play ambient sounds to help you sleep peacefully or block out unwanted noise at work or home. With over 90 high quality sounds to choose from, you'll be able to sleep better, stay focused, study without interruption, relax quickly, meditate more effectively, and get your baby to go to sleep faster! If there's a sound you'd like to see added, just e-mail us at support@sleepsounds.io.HOW TO USE:To Get Started: Say ""Alexa open Sleep Sounds"". Then, to play a sound say ""Play Thunderstorm"" or ""Play Rain"". To get a list of sounds, say ""List Sounds"". To have Sleep Sounds pick a random sound for you, say ""Play Random"".When a sound is playing, you can say ""Alexa Next"" or Alexa Previous"" to play the next or previous sound. To start a sound directly (when Sleep Sounds is already playing a sound -OR- when Sleep Sounds is not started ): Say ""Alexa, tell Sleep Sounds skill to play Thunderstorm"". Replace 'Thunderstorm' with any supported sound name.By default, the sounds will loop automatically and play until you say ""Alexa, Stop"". To limit the time that the sound will play, first play the sound using one of the above methods and then say ""Alexa, set a sleep timer for 2 hours"" or whatever time limit you would like. NEW FEATURES: Premium Members can now combine up to three sounds to make a completely new sound! Just say ""Play"" followed by up to three sounds separated by ""and"". For example, you can say ""Play Ocean and Beautiful Dream"" or ""Play Thunderstorm and Crickets and Frogs"". Your new sound will be given a name so you can play it easily in the future.Now Featuring Sleep Stories! We've taken some of our best sleep sounds and added a short story to the beginning These sleep-inducing stories will help you relax and calm your mind before drifting off into a deep sleep. The sounds will continue after the story to help keep you asleep longer.PREMIUM MEMBERSHIP:Get even more out of Sleep Sounds with our new Premium Membership option! - Many new sounds: We've added over 50 new sounds and will be adding even more in the next few weeks bringing the total number to well over 100! - New features like combining sounds, saving favorites, playlists, and more. - Higher quality versions of all sounds.Visit http://sleepsounds.io/membership to learn more and sign-up!NOW WITH OVER 90 HIGH QUALITY SOUNDS!!FREE SOUNDSHeartbeat, Ocean, Rain, Relax, Babbling Brook, Thunderstorm, White Noise, Rainforest, Fireplace, Wind, Music Box, Forest Birds, Airplane, Train Ride, Oscillating Fan, Grandfather Clock, City Sounds, Crickets, Frogs, Vacuum, Ocean Villa (Sleep Story)PREMIUM SOUNDS (Requires a Paid Membership)Beautiful Dream, Brown Noise, City Rain, Heavy Rain, Jungle Night, Mountain Lake, Sleep Little Babies, Small Lake, Swiss Massage, Wind Chimes, Underwater, Box Fan, Rain On Tin Roof, Forest Night, Distant Thunder, Waterfall, Distant Train, Cat Purring, Car Ride, Fountain, Cicadas, Coqui Frogs, Native American Flute, Whales, Rain on Tent, Pink Noise, Campfire, Cavern, Rainy Day, Blizzard, Seaside, Wind in Trees, Highway, Sailing, Sprinkler, Seagulls, Owls, Clothes Dryer, Loons, Truck, Hair Dryer, Piano Dream, Country Night, Washer, Bees, Electric Guitar, Orchestra, Flute, Zen, Medieval, Afternoon, Duduk, Monk Chant, Eternity, Tibetan Bowls, Tribal, India, Choir, Guitar, Wolves, Keyboard, Womb, Harp, Relaxing Piano, Pipe Organ, Gregorian, Didgeridoo, Sleep Stories: Gift of the Magi, The Ugly Duckling, Rikki Tikki TaviFEEDBACK AND SUPPORT:Visit us on the web at https://sleepsounds.io for helpful tips, samples of all the sounds, and more!We hope you'll love Sleep Sounds and give us a 5-star rating. If you feel that Sleep Sounds deserves less than a 5-star rating, please let us know at support@sleepsounds.io and we'll do everything in our power to make it better.We'd love to hear from you! If you have questions, comments, or feedback, please e-mail us at support@sleepsounds.io.",de7bba89-dd33-4318-a41b-442c6f719d78,sleep sounds,4.7,4,1,3,8,84,"2,839",1504381073.148896,Sleep and Relaxation Sounds
