author,content,date,id,review_title
Amazon Customer,"It's safe to say that this loop is frustrating for too, as this is not the experience we want you to have! Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We hope to hear from you soon to troubleshoot your issue, and please be sure to reference this review in your message to us.",7 months ago,6e72b659-87c6-45f9-a2d6-9d1eadb0ba12,Frust
Capital One,"Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",3 months ago,41e4b8dd-7517-4c55-8382-d1e083219185,Not helpful
Capital One,"This is a major shout out and we're very excited about being on your list of faves, G. SINCLAIR!",6 months ago,fef2e260-76e7-4d8c-9643-ba51914fd844,Easy setup and works great
Capital One,"Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",29 days ago,80ecd3c1-9565-4d29-8b40-2b53efff8a8f,Useless Application.
Amazon Customer,"This is only the beginning, but your feedback will help us to take the capabilities of the skill to new heights. Thanks so much for your detailed recommendations, and be sure to stay tuned for what's next. We will update www.capitalone.com/alexa with any news on the latest features.",7 months ago,26dd025c-065b-4d2b-999b-96826d390b14,Pretty Good
Capital One,"Hey there. If you do not interact with Alexa for 8 seconds or simply say some variation of ""goodbye"" that will end your session. Once you've completed using the skill just tell Alexa something along the lines of ""That's all"" or ""Bye"" and you should be all set from there!",4 months ago,0fb1b817-99f8-4937-9bbf-ded6bc1318b9,End a session
Amazon Customer,"We're sorry to hear that you're having difficulty accessing the skill, and would like to help turn things around. Give it another go, but if you don't have any luck contact us via www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,d911c38e-d8b3-41b2-8740-803bcb38b109,What skill?
Andy Kim,Great comment,9 months ago,37215a21-85d8-4b88-8de8-71461267171b,Another useful feature for Echo
Capital One,"Hello John. Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",29 days ago,0ef867b2-ef4d-42b5-a57c-61a1a6048cdc,Can't link
Nivek Yrrek,Will Do!,9 months ago,80a63d89-2b01-424c-8bd3-a35ccb18257b,I like this skill
Capital One,"That's the goal, Nivek! We're always working on new capabilites to get even better. Stay in the news by visiting: www.capitalone.com/alexa",9 months ago,a74fcf3f-e07f-4abc-aa40-03d53a044794,I like this skill
Capital One,"We think of it as banking of the future, and we're glad to have you abroad our time machine. Thanks for the shout out and stay tuned for bigger & better, Gyongyver!",10 months ago,ea8575c1-5416-440b-a3cd-26bb4c4e6133,Great - and only the beginning!
Capital One,"We recommend giving the Skill another go, James! We were experiencing an issue at the time of your review, but everything is good to go now.",29 days ago,ce80e2e7-eeaf-4e49-8c4c-5ebd53c946c5,Proxy error on the CO website
John and Jesse Maddalena,"Yeah, I'm having the same issue. I can't find anything about it either from Capital One or Amazon.",1 month ago,b7e2dbc0-1bbd-4b37-b813-59fe7fbe4f2a,Proxy error on the CO website
Amazon Customer,Simplicity is important to us when providing our customers with convenient ways to manage their account. As we are working to develop new capabilities you'll want to keep an eye on: www.capitalone.com/alexa for any updates on features.,7 months ago,a79fd9c3-1de7-4038-b227-2c00dcfb4e12,"Works, simple, needs to specifically note accounts"
Capital One,"Since trying to re-pair the device didn't take care of this we'd like to see if we can further assist. Visit us at www.capitalone.com/alexa scroll to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",29 days ago,90efdbd9-0650-4ade-b15d-aab2e09317d0,"I paired the account with Alexa; however, Alexa ..."
Capital One,"Providing convenient options for our customers is what we're all about. Thanks for the kudos, rodney!",6 months ago,935fcb96-3a98-4225-9b32-a1daa391fc46,Works perfect!!
Capital One,"Thanks for letting us know what would make the skill even better, Landon! We'll be sure to pass along the recommendation.",9 months ago,2926311a-12f6-4754-a4e6-313fd4e4c2ab,Great Add
Capital One,"We're excited to hear that you've found the skill so useful, William. Thanks for the kudos!",3 months ago,6495ad24-88d7-42e5-9ef5-851618394051,One of my fav skills for echo
Amazon Customer,"""We'd like to help sort out what's causing the linking troubles you're having, A. Mena. Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,7b49cc96-8a54-4fca-9745-0c9f136d4a81,Doesn't work
Amazon Customer,"We are pumped to receive such an awesome shout out, Voravech!",7 months ago,f82303b6-8155-4563-80f8-209e149e8689,Great skill. Must have for Capital One customers
Capital One,It's awesome to hear that you've found the skill convenient for the tasks you are looking to do. Thanks for the shout out!,3 months ago,68df8649-2a23-4be3-ae26-bac08c0945b9,Easy to use
Capital One,"We understand the importance of quick and convenient access to your financial details. Glad we could bring this option your way, Kels!",6 months ago,790c8b33-d415-48c2-bf14-88270e1463b2,Love it for quick access to accounts
Capital One,It sounds like you're enjoying the convenience of being able to access each of your products with in one place. We're excited to provide this option to you!,5 months ago,495908b7-fed8-4632-810b-780a68a0f35e,Awesome
Capital One,"Hi Duane. We're thinking that you may not have completed the pairing flow for setting up the skill. Once you're all done pairing you should see a screen that says: ""Your Capital One skill was successfully linked."" If you didn't get that far give the pairing another shot!",6 months ago,c62bdd29-6565-4b40-80c0-559f3c11b2f5,It doesn't work!: -( I enabled it but ...
Capital One,"We think of it as banking of the future, and we're glad to have you abroad our time machine. Thanks for the shout out and stay tuned for bigger & better, Minnie!",10 months ago,d801b1df-56d4-4ca9-b37e-761e34566938,Love it!
Capital One,Hi James! We understand that being able to pay another amount you desire would make life a lot easier. We're always working on new capabilites & you can stay in the loop by visiting: www.capitalone.com/alexa,10 months ago,a72c6302-d35f-4664-b273-579fce0c270e,PAYMENT ABILITY
Capital One,We'd like to get further clarification on the error message that you are receiving. Please contact us via www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. Be sure to mention that you submitted a review of the skill for further assistance.,2 days ago,b8d7e0ef-8dc2-4012-9c33-611d69b5b302,Can't link the account
Amazon Customer,"Hey there, absentee. Thanks for taking the time share the skill love!",7 months ago,85673010-3d2b-4c53-b845-c1cccf763244,Love it for our credit card account!
Capital One,"Hey there, cliff f. We'd like to ask that you double check to be sure you've finished all 3 steps to pair your account:1) Accept terms, 2) Added Capital One credentials and 3) Clicked finishing pairing account on the personal key page. Still no luck? Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",5 months ago,af5d052c-a811-45a8-9f37-d2d88681d333,Does not work
Capital One,"We'd like to request that you try re-pairing your device again. If that doesn't do the trick visit us at www.capitalone.com/alexa scroll to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",1 month ago,1c35bb5b-fa00-4861-8059-28f028d8f56c,Skill locked
Amazon Customer,"We'd like to help get to the bottom of the passcode loop you’re experiencing, Ron. Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,f949b2e6-dc89-45bc-a2b5-c599bee58394,Doesn't work
Capital One,Thanks for taking the time to stop through with a shout out!,2 days ago,d49dcc19-5683-4050-8bee-d2510ac170c8,Excellent
Capital One,"We really couldn't have said it any better ourselves, Suhas! We're glad to have you along for the journey.",10 months ago,3baa2a4e-7fe2-4cf0-8f9e-ce27c7d1773e,Changing banking for awesomeness
Amazon Customer,"We'd like to help get to the bottom of the passcode loop you’re experiencing, Ben. Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,0af877e2-196d-4433-a029-af9397bde08e,Doesn't work
Capital One,"We'd like to help get to the bottom of the passcode loop you’re experiencing, Joseph. Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",4 months ago,2038f2fd-0b34-444d-9e2f-17a6db34cb4e,Doesn't work
Capital One,"We'd like to recommend checking your connectivity and from there be sure that you have successfully paired your account with Capital One: 1) Accept terms, 2) Added Capital One credentials and 3) Clicked finishing pairing account on the personal key page. If you're still experiencing an issue after completing those steps please contact us at www.capitalone.com/alexa. Just scroll to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",5 months ago,410e3e83-8d87-4eae-9e13-a37ad5dd29a0,"Sorry, I'm having trouble..."
Capital One,Please be sure to disable the pop-up blocker if you’re pairing on desktop. If that's not an option we suggest that you use the Alexa App on your phone to pair.,29 days ago,53ec7041-464c-4264-a7e9-bb9d4dadd887,One Star
Capital One,"We understand that this may have caused an inconvenience to you, and have shared your feedback with our team. Thanks for taking the  time to pass along your experience, James!",6 months ago,f3715d0a-516f-4c5e-b7c5-39712755d13e,It disconnected from echo
Capital One,"Thank you for taking the time to review, Karen. The skill is linked to your online banking creditials; which is only available to the primary cardholder or borrower. For security purposes this option is not available to authorized users or third parties. Hope that helps to clarify things.",6 months ago,f0393114-c200-432f-a9b0-f3dd1b2d2636,Car loan
Capital One,"Thanks for the shout out, Van!",10 months ago,79adc68f-6ef8-43bc-b6f8-60aa0006798a,5 Star all the way!
Capital One,"We'd like to help sort out what's causing the linking loop you're receiving. Feel free to contact us at www.capitalone.com/alexa/  by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",10 months ago,2764a8be-8166-48d6-b99a-547046a99791,Can't link account
Amazon Customer,"We're sorry to hear that you're having difficulty accessing the skill, and would like to help turn things around. Give it another go, but if you don't have any luck contact us via www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,4fc0d77e-b262-46be-8cd5-2bba51553c43,Doesn't work!
Capital One,"Hi Mike. Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",3 months ago,d7cbbf99-fdcd-4b4d-8080-5e661d42bc8d,Sucks !!!
Capital One,"Hi Brian. We're sorry to hear that you're having difficulty logging in, and would like to help get to the bottom of your issue. Give it another go, but if you're still not havinging any luck contact us via www.capitalone.com/alexa. Simply scroll to the bottom of the page & from there you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",6 months ago,16bff609-e309-424a-b916-449ee967990a,wont let me login
Capital One,"We'd like to help sort out what's causing this login snafu, Brooke. Feel free to contact us at www.capitalone.com/alexa/  by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We'll keep our eyes peeled for you, and please be sure to reference this review in your message to us!",10 months ago,a40e0f71-f4d1-4ea2-84d8-88a0050da092,Account Won't Link
Capital One,"Hi Eric. If you have linked each of your accounts on the website as well as been merged to one username/password you should have access to info on each credit card. You can double check whether or not you've linked by walking through the ""Link Accounts"" option via the ""Services"" tab on the full website.",6 months ago,0ef1f35c-e2b3-4782-938c-d8d82d0b2a87,I have more than one capital one credit card
Amazon Customer,"Hi Christina. We're sorry to hear that you're having difficulty accessing the skill, and would like to help turn things around. Please try giving it another go! Still no luck? Hit www.capitalone.com/alexa > scroll to the bottom of the page  > you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,225fdc56-418b-495e-b5ff-b9384bfe97f8,If I could give 0 I would
AskMyBuddy,"Hello Pene,Thank you for the 5 stars, we really really appreciate it!Thank you for sharing your story.  It sounds pretty scary, and not something any of us want to go through, but we are glad you made it!To help you and your contacts stay familiar with Ask My Buddy, send an alert once a week!  Also - every month in the newsletter we have a different 'Guest alert' to help our users stay in practice. You can even say, 'Alexa, Ask My Buddy to alert powerball.' She will pick some numbers for you, but more importantly, you can stay in practice in how to send an alert.Best regards,Ask My Buddy Crew",10 months ago,d6f7fc1d-517d-47cd-8154-e17113972321,My er was to late  get yours now I now have added my buddy to Alexa !!
AskMyBuddy,"Hello Robert!Thank you for the 5 stars, we really really appreciate it!Thank you for sharing your story with us.  We are happy we are able to help.   To help your wife and your contacts stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Check the monthly newsletter for the 'Guest alert' to help stay in practice with. If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",8 months ago,139dc92e-60bf-43b9-b220-f8c683c7a9ea,IT DOES NOT GET ANY BETTER!!!!
AskMyBuddy,"Hello Macay25,Thank you for the 5 stars, we really really appreciate it!Best regards,Ask My Buddy Crew** Hint: To help you and your contacts stay familiar with Ask My Buddy, send an alert once a week!",11 months ago,04413abf-21e6-47ae-b8ca-7bc0e6a6493a,Wonderful APP.....Thank You.
AskMyBuddy,"Hello A.!Thank you for the 5 stars, we really really appreciate it!Thank you for sharing your story with us, and we are happy everyone was able to have a good laugh.  We do suggest that you set a schedule to send an alert once a week!  This will help you and your contacts stay familiar with Ask My Buddy.   Check the monthly newsletter for the 'Guest alert' to help stay in practice with, too.If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",8 months ago,3d6b02c5-6a8e-4b80-bb24-5ca15e30f747,Alert your Alerts!
AskMyBuddy,"Hello Jeff,Thank you for the 5 stars, we really really appreciated it!We definitely feel technology should be used to make life easier for everyone, regardless of age or ability.We encourage your father to send an alert once a week! This will help him, and his contacts stay familiar with Ask My Buddy. Check the monthly newsletter for the 'Guest alert' to help stay in practice with, too.If you ever need anything, please send email to support@askmybuddy.netBe well,The Ask My Buddy Crewp.s. We think you rock too!Ask My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help'",7 months ago,fd530b12-943a-46b6-9587-5341ed0ac943,A Perfect Combination of Technologies offering Freedom of Movement and Peace of Mind
AskMyBuddy,"Hello Angela!Thank you for the 5 stars, we really really appreciate it!Thank you for sharing your story - it is great to know that you mom is fine, and we are glad that your husband checked in!To help your mom stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Check the monthly newsletter for the 'Guest alert' to help her stay in practice. If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",9 months ago,50ed67c9-2e7e-4095-95d5-093b31044047,It really works!
LS Review,"Agree that IFTTT is a great feature, but I found it to be aggravatingly unreliable.  Originally had IFTT on my Honeywell thermostats.  Was a huge PITA to set up and only worked half the time if that.  Also had it for WEMO switches.  Also very unreliable and pain to set up.  Found myself getting angry and yelling at my Echo and even berating it from time to time.  Imagine how silly I looked.  Luckily those devices are now directly supported and work flawlessly and I rarely have to call Alexa names, though I still do form time to time.",5 months ago,4cfc3a7c-beae-4a75-9794-042a4244fe07,A step in the correct direction
Nik Bhattacharya,"Hi Brandon, I happened to read your review while browsing the skills store.I am the co founder of Mastermind, a new skill for Alexa that does exactly what you are looking for (real text messaging using your phone saying anything you want, initiating phone calls and more). It is currently in closed beta but feel free to enable the Mastermind skill. More details about mastermind: http://mastermindbot.com/See Mastermind in action: https://www.youtube.com/watch?v=EGgNa4OYARc&t=2sBest,Nik",7 months ago,10e72dec-ad46-4fdc-bd59-e22fce97d16e,A step in the correct direction
AskMyBuddy,"Hello Game Girl!Thank you for the 5 stars, we really really appreciate it and thank you for recommending us!To help you and your contacts stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Check the monthly newsletter for the 'Guest alert' to help you stay in practice. If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",9 months ago,93880543-f121-4256-89a1-05e28bcd28a1,"Alexa's version of I've fallen and I can't get up!"""
AskMyBuddy,"Hello Optimist!Thank you for the 5 stars, we really really appreciate it!  It does our hearts good to know we are able to help make life a little more easy.To help you and your contacts stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Check the monthly newsletter for the 'Guest alert' to help you stay in practice. If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",9 months ago,c849f8e7-600d-4004-a567-428f1373512b,A True Lifesaver
AskMyBuddy,"Hello Feline Friend!Wow!  Thank you so much for sharing your experience with other users.  We are so happy to hear that your mom was able to use Ask My Buddy to reach you!  This situation is exactly why we created Ask My Buddy.  If you ever need any help, send us an email support@askmybuddy.netVery best regards,The Ask My Buddy Crewp.s. We would love to chat with you more about your experience, please send us an email!Ask My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network. Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert. If you live in a community or building with private security, consider talking to them about being part of your network.",2 months ago,aca85b79-c04a-487c-bab2-3d8ca209d307,Was needed within 2-weeks
AskMyBuddy,"Hello Lovin Life in AZ!Thank you for the 5 stars, we really really appreciate it!For yourself, or your clients, that have set up their own Personal Alert ⨁ Network, have them set a schedule to send an alert once a week! This will help your clients and their contacts stay familiar with Ask My Buddy. Talk to them about the monthly newsletter for the 'Guest alert' to help stay in practice with, too.If you ever need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help'",8 months ago,16b40326-d34f-48ee-b80b-6cebbead7d81,Great App for My Dot!
AskMyBuddy,"Hello!Thank you for the 5 stars, we really really appreciate it!Wow!  You had quite a fall, we hope you are recovering well.  We encourage you to send an alert once a week! This will help you, and your contacts stay familiar with Ask My Buddy. Check the monthly newsletter for the 'Guest alert' to help stay in practice with, too.If you ever need anything, please send email to support@askmybuddy.netBe well,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help'",7 months ago,c401ebab-ce50-4252-bead-8e9c02aa9a2a,Great Skill
AskMyBuddy,"Hello Stevie!Thank you for taking time to write a review!We understand your concerns about the phone number caller ID and would like you to know that the telephone numbers that the call and text message each come from will be the same number for future alerts. When setting up Ask My Buddy, send each contact an alert to verify they receive it. It would helpful to then have your contact add these two phone numbers into their telephone’s address book with a name such as ‘Ask My Buddy - YourName’ This way when your contact receives a future call or text message, they will immediately recognize that an alert is being received. We also created a Guide for Contacts to help explain what Ask My Buddy, Personal Alert Network is, and what alerts are. We have created a file that you may download, then print or email to your contacts. It is located at the very bottom of the Settings page. Go to www.AskMyBuddy.net, then LOGIN to your account. You will be on the SETTINGS page. Scroll to the bottom of the page and tap “Download AskMyBuddy Guide for Contacts” to download the file. You may print this, or email it to your contacts.You may also be interested to know about our Personalized Quick Reference cards that can be printed out. The Quick Reference will have the login ID, a place to write a hint for the password, and it will automatically add each Contact’s name with the command to say. To get a personalized copy, go to www.AskMyBuddy.net, then LOGIN to the account. Tap on menu item CONTACTS, then scroll to the bottom of the Contacts page. Tap on 'Personalized for Amazon'. We recommend hanging this somewhere that it may be seen frequently, like a refrigerator, to help remember what to say when needed!If you ever need any help, send us an email support@askmybuddy.netBest regards,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network. Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert. If you live in a community or building with private security, consider talking to them about being part of your network.",2 months ago,03c927db-3651-4245-a243-db54cd5ce2b1,Good App - Could be Great with 1 Improvement
AskMyBuddy,"Hello R.,Thank you for the 5 stars, we really really appreciate it!Thank you for the compliment about the reference card, too.  We hoped it would be useful.~~ For anyone reading this, the refence card was included with the Welcome email, and is also available on the Contacts page, in the bottom left corner.  It will be an image of a paper with red PDF on the corner and ""Download the Quick Reference Card"" written below it.  Just click on it to download or open, then print it out.To help you and your contacts stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Also - every month in the newsletter we have a different 'Guest alert' to help you stay in practice. If you need anything, please send email to support@askmybuddy.netBest regards,The Ask My Buddy Crew",9 months ago,e2fdfadd-559e-4f39-85e1-925d7f19c0b0,What an amazing and useful app!
AskMyBuddy,"Hello Karen,Thank you for the 5 stars, we really really appreciate it!Very best regards,Ask My Buddy Crew",11 months ago,a1827d00-9ff9-4780-81fa-6db0252c4ba5,Awesome
AskMyBuddy,"Hello Majagu!Thank you for the 4 stars, we really appreciate it!We are happy to hear that you have set up your own Personal Alert ⨁ Network.  We are very happy to know that we are able to provide a service that helps you, it makes our hearts feel good about what we do, and we are very grateful to the community for supporting Ask My Buddy, so this service can be available to everyone.We understand your wish for different messages.  We originally had other types, but because many people say things differently, many of our users became confused with what to say.  We felt that it was more important to make it easier to make sure that an alert gets sent.  As Alexa and the voice interface improve, we will enhance Ask My Buddy as well.  If you ever need anything, please send email to support@askmybuddy.netBe well,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network.Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert.",7 months ago,ef79c55f-c1d6-418d-92d3-46bfa32b76c0,Peace of Mind
AskMyBuddy,"Hello Wendy!Thank you for the 5 stars, we really really appreciate it!  We are happy to hear that you have set up your own Personal Alert ⨁ Network.  Thanks too for telling us about your situation, and for telling of your experience with Ask My Buddy.  We are very happy to know that we are able to provide a service that helps you, it makes our hearts feel good about what we do, and we are very grateful to the community for supporting Ask My Buddy, so this service can be available to everyone.  Remember, the easiest way to alert all of your contacts is to say 'Alexa Ask My Buddy to Send Help'.You may be interested to know about our new Personalized Quick Reference cards that you can print out. This new quick reference is similar to our original, but it will have your information added to it automatically. The Quick Reference will have your login ID, a place to write a hint for your password, and it will add each of your Contact’s names with the command to say.To get your personalized copy, go to www.AskMyBuddy.net, then LOGIN to your account. Tap on menu item CONTACTS, then scroll to the bottom of the Contacts page. There will be 2 images with PDF on them. Tap on the right or bottom most one, 'Personalized for Amazon'. ** Please give it a minute or so while we build it just for you.We recommend hanging this somewhere that you may see it frequently, like a refrigerator, to help you remember what to say when you do need it!If you ever need anything, please send email to support@askmybuddy.netBe well,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network.Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert.",7 months ago,06522cc3-748f-4738-a93e-a87c8d5baa9a,I cannot begin to say how much I LOVE this life saving app
AskMyBuddy,"Hello William,Thank you for the 5 stars, we really really appreciate it!Best wishes for your health!Ask My Buddy Crew",12 months ago,9e321095-3348-4b8a-838a-236ae7f51288,Peace of mind
AskMyBuddy,"Hello Coco!Thank you for taking time to write a review and for 5 stars! We really appreciate it.We encourage you to have your Mom try out all the different skills, and to interact with Alexa daily, as this will really help her remember how to say commands, and will be a lot of fun too. For Ask My Buddy, the easiest command to remember is 'Alexa, Ask My Buddy to Send Help' and all of your contacts will be alerted.You may be interested to know about our Personalized Quick Reference cards that can be printed out. The Quick Reference will automatically add each Contact’s name with the command to say, and will show the login ID with a place to write a hint for the password. To get a personalized copy, go to www.AskMyBuddy.net, then LOGIN to the account. Tap on menu item CONTACTS, then scroll to the bottom of the Contacts page. Tap on 'Personalized for Amazon'. We recommend hanging this somewhere that it may be seen frequently, like a refrigerator, to help remember what to say when needed!If you ever need any help, send us an email support@askmybuddy.netBest regards,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network. Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert. If you live in a community or building with private security, consider talking to them about being part of your network.",2 months ago,a2e934b9-363c-41b7-a394-d22f14076e72,Ask My Buddy is pure piece of mind !
AskMyBuddy,"Hello Jane!Thank you for the 5 stars, we really really appreciate it!Great tip about watching those demos on QVC or HSN.  We are very glad to know it was a false alarm, and that you are all right.If you ever need anything, please send email to support@askmybuddy.netBe well,The Ask My Buddy CrewAsk My Buddy is not a substitute for 911, but rather an additional tool, offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Send Help' Ask My Buddy is designed as a way to quickly reach your own Personal Alert ⨁ Network.Please ask your family, friends, a care giver, or a neighbor to be part of your network, and make a plan with them for what it means if you send them an alert.",7 months ago,63f86a8d-6841-406c-88e6-f177f43edfb9,Oops
AskMyBuddy,"Hello LadyHawk217!Thank you for the 5 stars, we really really appreciate it!To help you and your contacts stay familiar with Ask My Buddy, set a schedule to send an alert once a week!Check the monthly newsletter for the 'Guest alert' to help you stay in practice. If you ever need anything, please send email to support@askmybuddy.netHappy Thanksgiving,The Ask My Buddy Crew",9 months ago,41ce5184-9ef7-48e5-a201-3ef7e13d0283,Feeling safer
